n,t_ns,swaps
100,4.5000000000e+03,258
100,4.6000000000e+03,296
100,4.1000000000e+03,243
100,4.5000000000e+03,278
100,3.8000000000e+03,219
100,4.6000000000e+03,314
100,4.3000000000e+03,269
100,4.5000000000e+03,291
100,4.5000000000e+03,314
100,4.3000000000e+03,278
112,5.0000000000e+03,310
112,5.2000000000e+03,348
112,5.1000000000e+03,348
112,4.6000000000e+03,291
112,4.9000000000e+03,310
112,5.2000000000e+03,366
112,5.4000000000e+03,373
112,4.8000000000e+03,309
112,5.1000000000e+03,324
112,4.9000000000e+03,319
126,5.5000000000e+03,373
126,5.7000000000e+03,372
126,5.4000000000e+03,348
126,5.7000000000e+03,366
126,6.2000000000e+03,440
126,5.7000000000e+03,382
126,6.1000000000e+03,415
126,6.2000000000e+03,438
126,5.5000000000e+03,373
126,5.3000000000e+03,330
142,6.4000000000e+03,452
142,6.6000000000e+03,444
142,6.7000000000e+03,454
142,6.4000000000e+03,411
142,7.1000000000e+03,495
142,7.0000000000e+03,492
142,7.0000000000e+03,478
142,6.5000000000e+03,441
142,7.1000000000e+03,523
142,6.8000000000e+03,483
159,8.1000000000e+03,573
159,7.7000000000e+03,510
159,7.8000000000e+03,527
159,8.2000000000e+03,617
159,7.5000000000e+03,498
159,7.6000000000e+03,514
159,7.2000000000e+03,475
159,7.5000000000e+03,484
159,7.3000000000e+03,495
159,7.7000000000e+03,516
179,9.4000000000e+03,683
179,9.4000000000e+03,667
179,9.5000000000e+03,681
179,9.1000000000e+03,627
179,9.0000000000e+03,652
179,9.4000000000e+03,653
179,9.1000000000e+03,640
179,9.0000000000e+03,636
179,9.5000000000e+03,704
179,9.5000000000e+03,686
201,1.0900000000e+04,777
201,1.0300000000e+04,732
201,1.0900000000e+04,756
201,1.0700000000e+04,766
201,1.1600000000e+04,897
201,1.1300000000e+04,834
201,1.0900000000e+04,756
201,1.1400000000e+04,777
201,1.0700000000e+04,765
201,1.0600000000e+04,754
226,1.2500000000e+04,860
226,1.2300000000e+04,904
226,1.3300000000e+04,967
226,1.2500000000e+04,908
226,1.2800000000e+04,944
226,1.1800000000e+04,811
226,1.2500000000e+04,856
226,1.2700000000e+04,920
226,1.2000000000e+04,816
226,1.2400000000e+04,907
254,1.4300000000e+04,1005
254,1.3600000000e+04,954
254,1.6100000000e+04,1284
254,1.5000000000e+04,1097
254,1.4800000000e+04,1120
254,1.4000000000e+04,960
254,1.4200000000e+04,1079
254,1.4800000000e+04,1088
254,1.4400000000e+04,1122
254,1.5000000000e+04,1110
285,1.5800000000e+04,1082
285,1.8000000000e+04,1423
285,1.8100000000e+04,1437
285,1.7200000000e+04,1291
285,1.7500000000e+04,1288
285,1.8000000000e+04,1367
285,1.6300000000e+04,1202
285,1.7000000000e+04,1230
285,1.6200000000e+04,1148
285,1.5900000000e+04,1149
320,2.0900000000e+04,1632
320,1.8900000000e+04,1399
320,2.0100000000e+04,1475
320,2.0800000000e+04,1579
320,1.9000000000e+04,1328
320,2.0200000000e+04,1550
320,2.4700000000e+04,1453
